pop,geno,BLUP,year,genotype_year,real
Dic2 x Silur,TT06DC 39.10,1.75708266685017,2015,TT06DC 39.10_2015,TRUE
Dic2 x Silur,TT06DC 39.11,-0.563579463585395,2015,TT06DC 39.11_2015,TRUE
Dic2 x Silur,TT06DC 39.13,-3.36624196935172,2015,TT06DC 39.13_2015,TRUE
Dic2 x Silur,TT06DC 39.16,-2.53999513281843,2015,TT06DC 39.16_2015,TRUE
Dic2 x Silur,TT06DC 39.17,-5.74488036370518,2015,TT06DC 39.17_2015,TRUE
Dic2 x Silur,TT06DC 39.18,-3.13156029839496,2015,TT06DC 39.18_2015,TRUE
Dic2 x Silur,TT06DC 39.20,2.54627957367351,2015,TT06DC 39.20_2015,TRUE
Dic2 x Silur,TT06DC 39.21,-0.333053853374914,2015,TT06DC 39.21_2015,TRUE
Dic2 x Silur,TT06DC 39.23,0.702468096867366,2015,TT06DC 39.23_2015,TRUE
Dic2 x Silur,TT06DC 39.24,0.486921581268676,2015,TT06DC 39.24_2015,TRUE
Dic2 x Silur,TT06DC 39.25,-2.41296793467263,2015,TT06DC 39.25_2015,TRUE
Dic2 x Silur,TT06DC 39.26,2.17846926608827,2015,TT06DC 39.26_2015,TRUE
Dic2 x Silur,TT06DC 39.27,1.13432804800992,2015,TT06DC 39.27_2015,TRUE
Dic2 x Silur,TT06DC 39.28,-2.57520830370584,2015,TT06DC 39.28_2015,TRUE
Dic2 x Silur,TT06DC 39.3,-3.08199523400155,2015,TT06DC 39.3_2015,TRUE
Dic2 x Silur,TT06DC 39.30,2.98357901228396,2015,TT06DC 39.30_2015,TRUE
Dic2 x Silur,TT06DC 39.31,-1.52887322838944,2015,TT06DC 39.31_2015,TRUE
Dic2 x Silur,TT06DC 39.32,0.631371869860286,2015,TT06DC 39.32_2015,TRUE
Dic2 x Silur,TT06DC 39.34,0.735173692017753,2015,TT06DC 39.34_2015,TRUE
Dic2 x Silur,TT06DC 39.35,-0.58074158176665,2015,TT06DC 39.35_2015,TRUE
Dic2 x Silur,TT06DC 39.36,-5.68586811961191,2015,TT06DC 39.36_2015,TRUE
Dic2 x Silur,TT06DC 39.37,2.86344477693,2015,TT06DC 39.37_2015,TRUE
Dic2 x Silur,TT06DC 39.4,-4.25158733335898,2015,TT06DC 39.4_2015,TRUE
Dic2 x Silur,TT06DC 39.6,1.30425246770226,2015,TT06DC 39.6_2015,TRUE
Dic2 x Silur,TT06DC 39.7,3.26721229841471,2015,TT06DC 39.7_2015,TRUE
Dic2 x Silur,TT06DC 39.8,-1.03329434145589,2015,TT06DC 39.8_2015,TRUE
Dic2 x Silur,TT06DC 39.9,4.48515940111184,2015,TT06DC 39.9_2015,TRUE
Dic2 x Silur,TT06DC 40.1,4.77102775457993,2015,TT06DC 40.1_2015,TRUE
Dic2 x Silur,TT06DC 40.10,-3.11766530087615,2015,TT06DC 40.10_2015,TRUE
Dic2 x Silur,TT06DC 40.11,-2.26708151364264,2015,TT06DC 40.11_2015,TRUE
Dic2 x Silur,TT06DC 40.12,-0.800585049083817,2015,TT06DC 40.12_2015,TRUE
Dic2 x Silur,TT06DC 40.14,-5.69406771709714,2015,TT06DC 40.14_2015,TRUE
Dic2 x Silur,TT06DC 40.15,-6.04740221857313,2015,TT06DC 40.15_2015,TRUE
Dic2 x Silur,TT06DC 40.16,-2.90434856529112,2015,TT06DC 40.16_2015,TRUE
Dic2 x Silur,TT06DC 40.17,-5.54991723287749,2015,TT06DC 40.17_2015,TRUE
Dic2 x Silur,TT06DC 40.18,-0.547530331878138,2015,TT06DC 40.18_2015,TRUE
Dic2 x Silur,TT06DC 40.22,3.13557502984449,2015,TT06DC 40.22_2015,TRUE
